Source Tables,,,,,,,,Output Tables (using source inputs),,,,,,,,
Output Table,Source Table,Source Column,Type,Used for Transformation,Mapping Scenario Type,Comments,,Output Table,Source Table,Source Column,Type,Business Rule,,,,
,,,,,,,,VCASE,T1044_CASE,CASE_NUM,"Numb(6,0)",,,,,
VDEMO,T1005_LS_LIC_MATCH,LIC_NUM,Char(12),Y,Business Rule,,,VCASE,T1044_CASE,STATUS_CD,Char(4),,,,,
,T1005_LS_LIC_MATCH,NCP_MCI_NUM,CHAR(10),,Default (Unused),,,VCASE,T1044_CASE,IVD_TYP_CD,Char(4),,,,,
,T1005_LS_LIC_MATCH,LIC_AGENCY_CD,CHAR(3),Y,Business Rule,VDEMO Business Rule,,VCASE,T1044_CASE,CLOSING_CD,Char(4),,,,,
,T1005_LS_LIC_MATCH,LIC_TYPE_CD,CHAR(3),Y,Business Rule,VDEMO Business Rule,,VCASE,T1044_CASE,INIT_RESP_ST_CD,Char(1),,,,,
,T1005_LS_LIC_MATCH,FIRST_MATCH_DT,"Date(3,0)",,Default (Unused),,,VCASE,T1044_CASE,STATUS_EFF_DT,"Date(3,0)",,,,,
,T1005_LS_LIC_MATCH,WKR_ID,CHAR(4),,Default (Unused),,,VCASE,T1044_CASE,STATUS_EFF_DT,"Date(3,0)",,,,,
,T1005_LS_LIC_MATCH,CREATE_DT,"Date(3,0)",,Default (Unused),,,VCASE,T1044_CASE,STATUS_EFF_DT,"Date(3,0)",,,,,
,T1005_LS_LIC_MATCH,UPDATE_DT,"Date(3,0)",,Default (Unused),,,VCASE,T1044_CASE,COUNTY_CD,Char(3),,,,,
,T1005_LS_LIC_MATCH,LIC_EXPIRE_DT,"Date(3,0)",,Default (Unused),,,VCASE,T1044_CASE,COUNTY_CD,Char(3),,,,,
VLSUP,T1018_SS_DEBT,BAL_DUE,"Numb(10,2)",Y,Business Rule,,,VCASE,T1044_CASE,COUNTY_CD,Char(3),,,,,
,T1018_SS_DEBT,CASE_NUM,VARCHAR(6),,Default (Unused),,,VCASE,T1044_CASE,GOOD_CAUSE_RSN_CD,Char(4),,,,,
,T1018_SS_DEBT,SUB_TYP_CD,CHAR(6),,Default (Unused),,,VCASE,T1044_CASE,MED_SUP_ONLY_IND,Char(1),,,,,
,T1018_SS_DEBT,SS_TYP_CD,CHAR(6),Y,Business Rule,VLSUP Business Rule,,VCASE,T1044_CASE,APPL_PROVIDED_DT,"Date(3,0)",,,,,
,T1018_SS_DEBT,CREDIT_TO_DT,"DECIMAL(10,2)",,Default (Unused),,,VCASE,T1044_CASE,APPL_REQ_DT,"Date(3,0)",,,,,
,T1018_SS_DEBT,DEBIT_TO_DT,"DECIMAL(10,2)",,Default (Unused),,,VCASE,T1044_CASE,APPL_RETURN_DT,"Date(3,0)",,,,,
VDEMO,T1043_PART,BIRTH_DT,"Date(3,0)",Y,Direct,,,VCASE,T1044_CASE,RESP_WORKER_ID,Char(4),,,,,
VDEMO,T1043_PART,ETHNIC_CD,Char(2),Y,Cross walk,,,VCASE,T1044_CASE,APPL_RETURN_DT,"Date(3,0)",,,,,
VDEMO,T1043_PART,MCI_NUM,"Numb(10,0)",Y,Direct,,,VCASE,T1044_CASE,GOOD_CAUSE_RSN_CD,Char(4),,,,,
VDEMO,T1043_PART,NAM,Char(24),Y,Business Rule,,,VCASE,T1044_CASE,UNWORK_RSN_EFF_DT,"Date(3,0)",,,,,
VDEMO,T1043_PART,SEX_CD,Char(1),Y,Cross walk,,,VCASE,T1044_CASE,UNWORK_RSN_CD,Char(4),,,,,
VDEMO,T1043_PART,SOC_SEC_NUM,"Numb(9,0)",Y,Direct,,,VCASE,T1044_CASE,FAM_COURT_FILE,Char(11),,,,,
,T1043_PART,DCIS1_CASE_NUM   ,VARCHAR(6),,Default (Unused),,,VCASE,T1044_CASE,IVD_TYP_CD,Char(4),,,,,
,T1043_PART,DCIS1_SUFFIX_CD ,CHAR(2),,Default (Unused),,,VCMEM,T1082_CASE_PART,CASE_NUM,"Numb(6,0)",,,,,
,T1043_PART,EFT_ACCT_NUM ,CHAR(18),,Default (Unused),,,VCMEM,T1082_CASE_PART,MCI_NUM,"Numb(10,0)",,,,,
,T1043_PART,PAT_ESTB_DT ,DATE,,Default (Unused),,,VCMEM,T1082_CASE_PART,RELATION_CD,Char(4),,,,,
,T1043_PART,MMCB_IND         ,CHAR(1),,Default (Unused),,,VCMEM,T1082_CASE_PART,STATUS_CD,Char(1),,,,,
,T1043_PART,AP_WAGE_SUPP_IND ,CHAR(1),,Default (Unused),,,VCMEM,T1082_CASE_PART,RELATION_CD,Char(4),,,,,
,T1043_PART,PAT_ESTB_CD      ,CHAR(1),,Default (Unused),,,VCMEM,T1082_CASE_PART,RELATION_CD,Char(4),,,,,
,T1043_PART,DCIS2_CASE_NUM   ,VARCHAR(10),,Default (Unused),,,VCMEM,T1044_CASE,UNWORK_RSN_EFF_DT,"Date(3,0)",,,,,
,T1043_PART,DCIS2_CASE_STS_CD,CHAR(4),,Default (Unused),,,VDEMO,T1043_PART,MCI_NUM,"Numb(10,0)",,,,,
,T1043_PART,DCIS2_PGM_CD     ,CHAR(3),,Default (Unused),,,VDEMO,T1043_PART,NAM,Char(24),,,,,
,T1043_PART,DCIS2_SUB_PGM_CD ,CHAR(1),,Default (Unused),,,VDEMO,T1043_PART,NAM,Char(24),,,,,
,T1043_PART,DCIS2_AG_SEQ_NUM ,CHAR(5),,Default (Unused),,,VDEMO,T1043_PART,NAM,Char(24),,,,,
,T1043_PART,PAT_EFF_DT       ,DATE,,Default (Unused),,,VDEMO,T1043_PART,NAM,Char(24),,,,,
,T1043_PART,TFM_TRACK_CD     ,CHAR(1),,Default (Unused),,,VDEMO,T1043_PART,NAM,Char(24),,,,,
,T1043_PART,PART_ACCT_NUM    ,VARCHAR(6),,Default (Unused),,,VDEMO,T1043_PART,SEX_CD,Char(1),,,,,
