VCASE Output Table,,,,,,,,,
Target Column,Type,Source Table,Source Column,Type,Computed,Default,Rule Complexity,Rule/Crosswalk/Comment,Issue?
General Table Rules,,,,,,,H,"Rule:Cases not to be converted. Do not convert cases with a closing code of CDUP.
Do not convert closed cases that have been closed more than 5 years.
Do not convert cases with no DPs.
Do not convert cases with multiple payees UNLESS the balances for the 'old' payees are zero or not positive.
Do not convert cases with balances and no court order.
Do not convert Open cases with current support (CS or MS) and no active DP linked to the obligation.
Do not convert COLU cases.
Do not convert foster care cases where 1 or more DPs do not have a PID.",
Case_IDNO,"Numb(6,0)",T1044_CASE,CASE_NUM,"Numb(6,0)",,,,,
StatusCase_CODE,Char(1),T1044_CASE,STATUS_CD,Char(4),,,L,"Rule:By moving the Legacy DACSES 4 byte status codes (OPEN, CLSD, or CTRM) to New DACSES 1 byte status code, truncation occurs. Hence, the values of O and C are moved. ",Length
TypeCase_CODE,Char(1),T1044_CASE,IVD_TYP_CD,Char(4),,,L,"Rule:If the case is responding (T1044.INIT_RESP_ST_CD = R) and T1044.TYP_CD = FC or MAO or AFDC, default the case type to N",Length
RsnStatusCase_CODE,Char(2),T1044_CASE,CLOSING_CD,Char(4),,,,Case Closing Codes table lookup,Length
RespondInit_CODE,Char(1),T1044_CASE,INIT_RESP_ST_CD,Char(1),,,H,"Rule:If T1044.INIT_RESP_ST_CD = I or R and T1044.IVD_TYP_CD = DIRP or COLL, move N.
If T1044.INIT_RESP_ST_CD = I or R and T1044.status_code = CLSD  move N.
Else
If T1044.INIT_RESP_ST_CD = I and the NCP does not have a mailing address (T1051.ADD_TYP_CD = MAIL) with a correspondence fips code (CORR_FIPS_CD > 0) Move N.
If T1044.INIT_RESP_ST_CD = R and the CP does not have a mailing address (T1051.ADD_TYP_CD = MAIL) with a correspondence fips code (CORR_FIPS_CD > 0)Move N.
Else
If T1044.INIT_RESP_ST_CD = I or R, the member's address needs to be checked for out of country. 
If T1044.INIT_RESP_ST_CD = I and the NCP's T1051.ADD_TYP_CD = MAIL and T1051.STATE_ADR  = XX or spaces move C
If T1044.INIT_RESP_ST_CD = R and the CP's T1051.ADD_TYP_CD = MAIL and T1051.STATE_ADR  = XX or spaces move Y
If none of the above are true, the crosswalk rule is followed.",
SourceRfrl_CODE,Char(3),,,,X, ,M,"Rule:Where the case type has been converted as 'A' move S (DSS)
Where the case type has been converted as 'F' move D (DFS)
Where the case category has been converted as MO or PT move S.
If none of the above, move space.",
Opened_DATE,"Date(3,0)",T1044_CASE,STATUS_EFF_DT,"Date(3,0)",,Default date,,Rule override by using default date,
Marriage_DATE,"Date(3,0)",,,,,LOW DATE,,,
Divorced_DATE,"Date(3,0)",,,,,LOW DATE,,,
StatusCurrent_DATE,"Date(3,0)",T1044_CASE,STATUS_EFF_DT,"Date(3,0)",,,,,
AprvIvd_DATE,"Date(3,0)",T1044_CASE,STATUS_EFF_DT,"Date(3,0)",,Default date,,Rule override by using default date,
County_IDNO,"Numb(3,0)",T1044_CASE,COUNTY_CD,Char(3),,,,,Type
Office_IDNO,"Numb(3,0)",T1044_CASE,COUNTY_CD,Char(3),,,,,Type
AssignedFips_CODE,Char(7),T1044_CASE,COUNTY_CD,Char(3),,,L,"Rule: First 2 bytes  move 10 (Delaware state FIPS code), next 3 bytes move T1044.county_cd, last 2 bytes move zeroes.",
GoodCause_CODE,Char(1),T1044_CASE,GOOD_CAUSE_RSN_CD,Char(4),,,L,"Rule: If the case type is AFDC or MAO and the good_cause_rsn_cd is not spaces or nulls, move A to GoodCause_CODE and use the non coop crosswalk to populate NonCoop_CODE.",Length
GoodCause_DATE,"Date(3,0)",T1074_EVENT,CREATE_DT,"Date(3,0)",,Default Good Casue Date,,,
Restricted_INDC,Char(1),,,,X,N,,,
Intercept_CODE,Char(1),,,,X,,H,"Rule:This case level indicator uses B - where tax offset has been submitted for state and federal, I for federal only, and S for state only.
When reading T1038, the tax_int_sts_cd must be in ('URRS','SUBM') and the archive date must be high date (9999-12-31).
Move B WHEN ((T1038.NPA_ELIG_IND = 'Y' AND NPA_ARREARS_AMT > 0) OR (T1038.AFDC_ELIG_IND = 'Y' AND AFDC_ARREARS_AMT > 0)) AND (T1038.STX_LOT_ELIG_IND = 'Y' AND STAX_ARREARS_AMT > 0) 
Move  I  WHEN (T1038.NPA_ELIG_IND = 'Y' AND NPA_ARREARS_AMT > 0) OR (T1038.AFDC_ELIG_IND = 'Y' AND AFDC_ARREARS_AMT > 0)
Move S WHEN (T1038.STX_LOT_ELIG_IND = 'Y' AND STAX_ARREARS_AMT > 0) ELSE ""N""",
MedicalOnly_INDC,Char(1),T1044_CASE,MED_SUP_ONLY_IND,Char(1),,,,,
Jurisdiction_INDC,Char(1),,,,,spaces,,,
IvdApplicant_CODE,Char(3),,,,,spaces,,,
Application_IDNO,"Numb(15,0)",,,,,0,,,
AppSent_DATE,"Date(3,0)",T1044_CASE,APPL_PROVIDED_DT,"Date(3,0)",,,,,
AppReq_DATE,"Date(3,0)",T1044_CASE,APPL_REQ_DT,"Date(3,0)",,,,,
AppRetd_DATE,"Date(3,0)",T1044_CASE,APPL_RETURN_DT,"Date(3,0)",,,,,
CpRelationshipToNcp_CODE,Char(3),,,,,SPACES,,,
Worker_ID,Char(30),T1044_CASE,RESP_WORKER_ID,Char(4),,,,,
