VDEMO Output Table,,,,,,,,,
Target Column,Type,Source Table,Source Column,Type,Computed,Default,Rule Complexity,Rule/XW/Comment,Issue?
MemberMci_IDNO,"Numb(10,0)",T1043_PART,MCI_NUM,"Numb(10,0)",,Default T0540 code. Don't use rule,,,
INDIVIDUAL_IDNO,"Numb(8,0)",,,,,0,,,
Last_NAME,Char(20),T1043_PART,NAM,Char(24),,,M,"Rule:The member names in Legacy DACSES are stored in one field - T1043.nam in order of last, first, middle, and suffix.
Using commas and spaces as delimiters, extract the last, first, middle, and suffix.
For storing fulldisplay_name: move Last Name Suffix, First Name Middle Name ( insert comma ONLY after suffix - if no suffix then after last name, move space between last and first)",Length
First_NAME,Char(16),T1043_PART,NAM,Char(24),,,M,"Rule:The member names in Legacy DACSES are stored in one field - T1043.nam in order of last, first, middle, and suffix.
Using commas and spaces as delimiters, extract the last, first, middle, and suffix.
For storing fulldisplay_name: move Last Name Suffix, First Name Middle Name ( insert comma ONLY after suffix - if no suffix then after last name, move space between last and first)",Length
Middle_NAME,Char(20),T1043_PART,NAM,Char(24),,,M,"Rule:The member names in Legacy DACSES are stored in one field - T1043.nam in order of last, first, middle, and suffix.
Using commas and spaces as delimiters, extract the last, first, middle, and suffix.
For storing fulldisplay_name: move Last Name Suffix, First Name Middle Name ( insert comma ONLY after suffix - if no suffix then after last name, move space between last and first)",Length
Suffix_NAME,Char(4),T1043_PART,NAM,Char(24),,,M,"Rule:The member names in Legacy DACSES are stored in one field - T1043.nam in order of last, first, middle, and suffix.
Using commas and spaces as delimiters, extract the last, first, middle, and suffix.
For storing fulldisplay_name: move Last Name Suffix, First Name Middle Name ( insert comma ONLY after suffix - if no suffix then after last name, move space between last and first)",Length
Title_NAME,Char(8),,,,,space,,,
FullDisplay_NAME,Char(60),T1043_PART,NAM,Char(24),,,M,"Rule:The member names in Legacy DACSES are stored in one field - T1043.nam in order of last, first, middle, and suffix.
Using commas and spaces as delimiters, extract the last, first, middle, and suffix.
For storing fulldisplay_name: move Last Name Suffix, First Name Middle Name ( insert comma ONLY after suffix - if no suffix then after last name, move space between last and first)",
MemberSex_CODE,Char(1),T1043_PART,SEX_CD,Char(1),,,,Gender of member table lookup,
MemberSsn_NUMB,"Numb(9,0)",T1043_PART,SOC_SEC_NUM,"Numb(9,0)",,,,,
Birth_DATE,"Date(3,0)",T1043_PART,BIRTH_DT,"Date(3,0)",,,,,
Emancipation_DATE,"Date(3,0)",,,,,BIRTH_DT + 18 YEARS minus 1 day,L,"Rule:Convert emancipation date ONLY where the member is a DP on at least one case.
Else move low date.",
LastMarriage_DATE,"Date(3,0)",,,,,LOW DATE,,,
LastDivorce_DATE,"Date(3,0)",,,,,LOW DATE,,,
BirthCity_NAME,Char(28),T1045_AP_EXT,BIRTH_CITY,Char(16),,,H,Delete Rule,
BirthState_CODE,Char(2),T1045_AP_EXT,BIRTH_STATE,Char(2),,,H,Delete Rule,
BirthState_CODE,Char(2),T1096_PATERNITY,BIRTH_ST,Char(2),,,H,Delete Rule,
BirthCountry_CODE,Char(2),,,,X,,L,"Rule:If State Code found in VREFM default to US, else spaces.",
DescriptionHeight_TEXT,Char(3),T1045_AP_EXT,HEIGHT,Char(5),,,M,"Move the first 3 numbers.
If there are only 2 numbers, insert a zero before the last number.
If there are no numbers, move zeroes.
If there are 3  numbers, and the last two digits are greater than 11,  move zero to the last 2 bytes.
Here are some actual Legacy DACSES examples:
N5'11 - this will be converted as 511(5 feet 11 inches)
6'2''    - this will be converted as 602 (6 feet 2 inches)
ERIFI  - this cannot be converted
6'185  - this will be converted as  600 (6 feet 0 inches)",Length
DescriptionWeightLbs_TEXT,Char(3),T1045_AP_EXT,WEIGHT,"Numb(5,0)",,,,,Type
Race_CODE,Char(1),T1043_PART,ETHNIC_CD,Char(2),,,,Race code table lookup,Length
ColorHair_CODE,Char(3),T1045_AP_EXT,HAIR_COLOR,Char(5),,,,Hair color  table lookup,Length
ColorEyes_CODE,Char(3),T1045_AP_EXT,EYE_COLOR,Char(5),,,,Eye color  table lookup,Length
FACIALHAIR_INDC,Char(1),,,,,N,,,
Language_CODE,Char(3),,,,,space,,,
TypeProblem_CODE,Char(3),,,,,space,,,
Deceased_DATE,"Date(3,0)",T0540,DEATH_DT,"Date(10,0)",,high date,,,
CerDeathNo_TEXT,Char(9),,,,,space,,,
LicenseDriverNo_TEXT,Char(25),T1005_LS_LIC_MATCH,LIC_NUM,Char(12),,,M,"Rule:Move T1005.LIC_NUM  where  T1005.LIC_AGENCY_CD = 'DMV' AND T1005. LIC_TYPE_CD = 'D'.
If no license is  found  in T1005,  then fetch the T1045.license_num. 
If there is no data in the T1045.license_num or  the T1045.license_state is not found in VREFM  (stat/stat) 
move spaces.",
AlienRegistn_ID,Char(10),,,,,space,,,
WorkPermitNo_TEXT,Char(10),,,,,Space,,,
BeginPermit_DATE,"Date(3,0)",,,,,low date,,,
