VOBL Output Table,,,,,,,,,
Target Column,Type,Source Table,Source Column,Type,Computed,Default,Rule Complexity,Rule/XW/Comment,Issue?
General Table Rules,,,,,,,H,"Rule 1:If a court order exists (T1049) and the NCP/PF is unidentified (MCI number is 999995 and the member status in VCMEM is active) do NOT convert a SORD and OBLE.
Rule 2:For cases where the T1044.IVD_ typ_cd = DIRP do not create a VOBLE record.
Rule 3:If VCASE.StatusCase_CODE = C (closed) and the VOBLE.EndObligation_DATE > conversion date
move VCASE.StatusCurrent_DATE.
If the case is a no charge case (T1049.CHRG_FREQ_CD = NO-C and the VOBLE.EndObligation_DATE > conversion date
move conversion date.",
Case_IDNO,"Numb(6,0)",T1049_COURT_ORDER,CASE_NUM,"Numb(6,0)",,,,,
OrderSeq_NUMB,"Numb(2,0)",,,,,1,,,
ObligationSeq_NUMB,"Numb(2,0)",,,,X,,,"Rule:Starting at 1, increment by 1 for each oble record created per VSORD and per case.",
MemberMci_IDNO,"Numb(10,0)",T1052_ORD_CHLD_INC,MCI_NUM,"Numb(10,0)",,,H,"Rule:If voble.TypeDebt_CODE  = 'SS' or 'GT' move vcmem.membermci_idno where CaseRelationShip_CODE = 'C'
else move T1052.mci_num for the dependents. For CS obligations that are charging, the dependent(s) must be active. If not active, do not move inactive DPs.
If moving dependents all financials need to be divided by the total number of dependents added to the obligation.
For arrears only cases:
Any child linked to the order  i.e. an OBLE is converted with a DP MCI, that DP  must have an active status in VCMEM.  i.e. VCMEM.CaseMemberStatus_CODE needs to be  converted to 'A'.
For arrears only cases where NO DP is linked to the latest order in DACSES:
If only 1 DP on case: Link that DP to the order   
If more than 1 DP on case: 1 (or more) DPs are active - link those DPs
    If no DPs are active and  1 or more were linked to a previous order Link those DPs from the previous order  
    If no DPs are active and none were  ever linked to order: Link the youngest DP (if twins or triplets etc..  link all) ",
MemberMci_IDNO,"Numb(10,0)",VCMEM,MemberMci_IDNO,"Numb(10,0)",,,H,"Rule:If voble.TypeDebt_CODE  = 'SS' or 'GT' move vcmem.membermci_idno where CaseRelationShip_CODE = 'C'
else move T1052.mci_num for the dependents. For CS obligations that are charging, the dependent(s) must be active. If not active, do not move inactive DPs.
If moving dependents all financials need to be divided by the total number of dependents added to the obligation.
For arrears only cases:
Any child linked to the order  i.e. an OBLE is converted with a DP MCI, that DP  must have an active status in VCMEM.  i.e. VCMEM.CaseMemberStatus_CODE needs to be  converted to 'A'.
For arrears only cases where NO DP is linked to the latest order in DACSES:
If only 1 DP on case: Link that DP to the order   
If more than 1 DP on case: 1 (or more) DPs are active - link those DPs
    If no DPs are active and  1 or more were linked to a previous order Link those DPs from the previous order  
    If no DPs are active and none were  ever linked to order: Link the youngest DP (if twins or triplets etc..  link all) ",
TypeDebt_CODE,Char(2),T1050_ORD_SUB_ACCT,SUB_TYP_CD,Char(6),,,,Charge frequency LOV table lookup,Length
Fips_CODE,Char(7),T1048_SUB_ACCT,URESA_CD,"Numb(7,0)",,,M,"Rule:If T1048.sub_typ_cd = OSTATA, then move T1048_uresa_cd.  Use state fips followed by 5 zeroes.
If client mailing address payment fips code > 0(T1051.PAYMENT_FIPS_CD WHERE ADD_TYP_CD = 'MAIL'), move T1051_payment_fips cd. Use state fips followed by all zeroes.
If neither condition exists, default to 1000000 (Delaware fips).",Type
Fips_CODE,Char(7),T1051_PART_ADDRESS,PAYMENT_FIPS_CD,"Numb(9,0)",X,,M,"Rule:If T1048.sub_typ_cd = OSTATA, then move T1048_uresa_cd.  Use state fips followed by 5 zeroes.
If client mailing address payment fips code > 0(T1051.PAYMENT_FIPS_CD WHERE ADD_TYP_CD = 'MAIL'), move T1051_payment_fips cd. Use state fips followed by all zeroes.
If neither condition exists, default to 1000000 (Delaware fips).",
FreqPeriodic_CODE,Char(1),T1049_COURT_ORDER,CHRG_FREQ_CD,Char(4),,,M,"Rule:A handful of No charge cases are not updated correctly in the DACSES court order record. 
Where the case (T1044) has a No charge in field CHARGE_FREQ_CD, this field will be used to override the incorrect frequency and be converted accordingly.
Where the debt type is GT (APFEES) move O (one-time)
Charge frequency table lookup",Length
